Name ,Trial,Marker Name,Object Code,Action?,Start
s1,T5,UR,,,00:01:31:19
s1,T5,BL,,,00:01:34:02
s1,T5,BL,,x,00:01:34:03
s1,T7,UR,,,00:04:05:23
s1,T7,OT,,,00:04:06:07
s1,T7,CN,,,00:04:06:20
s1,T7,UL,,,00:04:06:21
s1,T7,OT,,,00:04:07:17
s1,T7,LL,,,00:04:07:22
s1,T7,UL,,,00:04:08:16
s1,T7,CN,,,00:04:08:22
s1,T7,LR,,,00:04:08:23
s1,T7,LR,,2,00:04:09:18
s1,T3,UR,,,00:05:50:19
s1,T3,BL,,,00:05:51:03
s1,T3,CN,,,00:05:51:07
s1,T3,LL,,,00:05:51:12
s1,T3,CN,,,00:05:51:18
s1,T3,UR,,,00:05:51:19
s1,T3,CN,,,00:05:52:10
s1,T3,BL,,,00:05:52:11
s1,T3,LL,,,00:05:52:16
s1,T3,LL,,x,00:05:53:07
s1,T2,UR,,,00:09:03:06
s1,T2,CN,,,00:09:03:14
s1,T2,UL,,,00:09:03:19
s1,T2,UL,,x,00:09:05:08
s1,T4,UR,,,00:11:39:01
s1,T4,CN,,,00:11:39:16
s1,T4,OT,,,00:11:39:17
s1,T4,LL,,,00:11:39:18
s1,T4,UL,,,00:11:40:03
s1,T4,CN,,,00:11:41:02
s1,T4,UR,,,00:11:41:03
s1,T4,CN,,,00:11:41:17
s1,T4,BL,,,00:11:41:19
s1,T4,LL,,,00:11:41:24
s1,T4,LL,,x,00:11:42:07
s1,T6,UR,,,00:14:08:12
s1,T6,LR,,,00:14:10:03
s1,T6,UR,,,00:14:10:09
s1,T6,UR,,x,00:14:10:19
s1,T1,LL,,,00:17:23:04
s1,T1,UL,,,00:17:23:19
s1,T1,UL,,x,00:17:24:18
s1,T8,UR,,,00:21:20:04
s1,T8,OT,,,00:21:20:08
s1,T8,UL,,,00:21:20:09
s1,T8,CN,,,00:21:21:24
s1,T8,LR,,,00:21:22:04
s1,T8,LR,,2,00:21:23:20
