Name ,Trial,Marker Name,Object Code,Action?,Start
s10,T8,LR,,,00:01:17:24
s10,T8,OT,,,00:01:18:01
s10,T8,CN,,,00:01:18:02
s10,T8,LR,,,00:01:18:08
s10,T8,BL,,,00:01:19:04
s10,T8,LR,,,00:01:19:08
s10,T8,CN,,,00:01:19:09
s10,T8,LL,,,00:01:19:10
s10,T8,LR,,,00:01:19:23
s10,T8,LR,,x,00:01:20:04
s10,T1,CN,,,00:04:47:17
s10,T1,LL,,,00:04:48:03
s10,T1,UL,,,00:04:48:17
s10,T1,UR,,,00:04:49:04
s10,T1,BL,,,00:04:49:13
s10,T1,LL,,,00:04:49:16
s10,T1,CN,,,00:04:50:08
s10,T1,UR,,,00:04:50:09
s10,T1,UR,,x,00:04:50:16
s10,T6,LR,,,00:07:50:03
s10,T6,OT,,,00:07:50:10
s10,T6,UR,,,00:07:50:15
s10,T6,BL,,,00:07:50:24
s10,T6,LR,,,00:07:51:03
s10,T6,UR,,,00:07:51:17
s10,T6,UR,,x,00:07:52:13
s10,T4,CN,,,00:10:15:19
s10,T4,UL,,,00:10:16:12
s10,T4,LL,,,00:10:16:13
s10,T4,UL,,,00:10:16:18
s10,T4,CN,,,00:10:16:19
s10,T4,BL,,,00:10:17:04
s10,T4,LL,,,00:10:17:08
s10,T4,LL,,x,00:10:18:06
s10,T2,UL,,,00:12:38:14
s10,T2,CN,,,00:12:38:21
s10,T2,BL,,,00:12:39:01
s10,T2,CN,,,00:12:39:05
s10,T2,UL,,,00:12:39:18
s10,T2,LL,,x,00:12:40:13
s10,T3,CN,,,00:15:48:08
s10,T3,UR,,,00:15:49:07
s10,T3,BL,,,00:15:49:10
s10,T3,CN,,,00:15:49:14
s10,T3,LL,,,00:15:49:20
s10,T3,LL,,x,00:15:50:15
s10,T7,OT,,,00:17:21:20
s10,T7,OT,,,00:17:21:22
s10,T7,CN,,,00:17:21:23
s10,T7,BL,,,00:17:22:22
s10,T7,CN,,,00:17:23:01
s10,T7,UL,,,00:17:23:06
s10,T7,OT,,,00:17:23:18
s10,T7,LR,,,00:17:23:19
s10,T7,LR,,x,00:17:24:13
s10,T5,CN,,,00:19:37:08
s10,T5,BL,,,00:19:37:23
s10,T5,CN,,,00:19:38:03
s10,T5,UR,,,00:19:38:09
s10,T5,UR,,x,00:19:39:11
