Name ,Trial,Marker Name,Object Code,Action?,Start
s13,T5,OT,,,00:01:20:14
s13,T5,CN,,,00:01:20:23
s13,T5,OT,,,00:01:21:03
s13,T5,UR,,,00:01:21:04
s13,T5,LR,,,00:01:21:13
s13,T5,UR,,,00:01:21:20
s13,T5,UR,,x,00:01:22:05
s13,T7,UL,,,00:04:00:17
s13,T7,TL,,,00:04:02:11
s13,T7,LL,,x,00:04:02:21
s13,T3,BL,,,00:05:41:04
s13,T3,UR,,,00:05:41:08
s13,T3,UR,,,00:05:42:00
s13,T3,CN,,,00:05:42:21
s13,T3,UL,,,00:05:42:22
s13,T3,CN,,,00:05:43:00
s13,T3,LR,,,00:05:43:01
s13,T3,UR,,,00:05:43:11
s13,T3,UR,,x,00:05:44:01
s13,T2,LL,,,00:08:48:06
s13,T2,BL,,,00:08:48:09
s13,T2,UL,,,00:08:48:12
s13,T2,BL,,,00:08:48:14
s13,T2,UL,,,00:08:48:16
s13,T2,LL,,,00:08:50:00
s13,T2,LL,,x,00:08:50:05
s13,T4,LL,,,00:11:12:16
s13,T4,CN,,,00:11:12:20
s13,T4,LL,,,00:11:13:06
s13,T4,CN,,,00:11:14:05
s13,T4,LR,,,00:11:14:08
s13,T4,CN,,,00:11:14:14
s13,T4,UL,,,00:11:14:15
s13,T4,UL,,x,00:11:14:17
s13,T6,UR,,,00:13:39:13
s13,T6,CN,,,00:13:40:03
s13,T6,LR,,,00:13:40:07
s13,T6,OT,,,00:13:40:14
s13,T6,UR,,,00:13:40:15
s13,T6,UR,,x,00:13:41:03
s13,T1,LR,,,00:17:07:19
s13,T1,BL,,,00:17:07:22
s13,T1,CN,,,00:17:08:00
s13,T1,UL,,,00:17:08:10
s13,T1,UL,,x,00:17:09:19
s13,T8,CN,,,00:21:10:14
s13,T8,UL,,,00:21:10:19
s13,T8,LL,,,00:21:11:13
s13,T8,LL,,x,00:21:12:13
