Name ,Trial,Marker Name,Object Code,Action?,Start
s22,T8,LL,,,00:01:25:22
s22,T8,UL,,,00:01:26:02
s22,T8,BL,,,00:01:27:03
s22,T8,LR,,,00:01:27:09
s22,T8,LR,,x,00:01:28:04
s22,T1,UR,,,00:05:58:17
s22,T1,CN,,,00:05:58:19
s22,T1,BL,,,00:06:00:01
s22,T1,UL,,,00:06:00:04
s22,T1,UL,,x,00:06:00:14
s22,T6,UR,,,00:00:44:09
s22,T6,BL,,,00:00:44:16
s22,T6,UR,,,00:00:44:20
s22,T6,LR,,,00:00:45:24
s22,T6,UR,,,00:00:46:07
s22,T6,UR,,x,00:00:46:12
s22,T4,CN,,,00:03:15:01
s22,T4,BL,,,00:03:16:06
s22,T4,LL,,,00:03:16:15
s22,T4,BL,,,00:03:17:15
s22,T4,CN,,x,00:03:17:23
s22,T2,LL,,,00:07:04:03
s22,T2,BL,,,00:07:04:14
s22,T2,LR,,,00:07:04:22
s22,T2,CN,,,00:07:05:06
s22,T2,UL,,,00:07:05:14
s22,T2,UL,,x,00:07:06:04
s22,T3,OT,,,00:10:09:08
s22,T3,BL,,,00:10:09:16
s22,T3,LL,,,00:10:10:02
s22,T3,BL,,,00:10:10:22
s22,T3,LL,,,00:10:11:07
s22,T3,LL,,x,00:10:11:12
s22,T7,OT,,,00:13:06:01
s22,T7,BL,,,00:13:06:07
s22,T7,UL,,,00:13:06:12
s22,T7,BL,,,00:13:07:00
s22,T7,UL,,,00:13:07:06
s22,T7,CN,,,00:13:07:15
s22,T7,T7,,,00:13:07:20
s22,T7,LR,,,00:13:07:23
s22,T7,LR,,x,00:13:08:17
s22,T5,BL,,,00:15:31:24
s22,T5,CN,,,00:15:32:07
s22,T5,LR,,,00:15:32:20
s22,T5,UR,,,00:15:32:22
s22,T5,BL,,,00:15:33:11
s22,T5,UR,,,00:15:33:14
s22,T5,UR,,x,00:15:33:22
