Name ,Trial,Marker Name,Object Code,Action?,Start
s3,T8,UL,,,00:01:33:01
s3,T8,CN,,,00:01:33:23
s3,T8,BL,,,00:01:33:24
s3,T8,LR,,,00:01:34:02
s3,T8,LR,,x,00:01:35:15
s3,T1,UL,,,00:05:47:01
s3,T1,LL,,,00:05:47:18
s3,T1,UL,,,00:05:48:08
s3,T1,UL,,x,00:05:49:14
s3,T6,UR,,,00:09:27:16
s3,T6,LR,,,00:09:28:04
s3,T6,UR,,,00:09:29:09
s3,T6,UR,,x,00:09:30:06
s3,T4,UR,,,00:11:56:00
s3,T4,CN,,,00:11:56:21
s3,T4,BL,,,00:11:56:22
s3,T4,LL,,,00:11:57:02
s3,T4,CN,,,00:11:58:07
s3,T4,LR,,,00:11:58:08
s3,T4,CN,,,00:11:58:16
s3,T4,LL,,,00:11:58:17
s3,T4,LL,,x,00:11:59:06
s3,T2,UL,,,00:14:23:21
s3,T2,LL,,,00:14:24:01
s3,T2,UL,,,00:14:24:23
s3,T2,BL,,,00:14:25:18
s3,T2,UL,,,00:14:26:00
s3,T2,UL,,x,00:14:26:08
s3,T3,UL,,,00:17:39:07
s3,T3,CN,,,00:17:39:15
s3,T3,UL,,,00:17:40:04
s3,T3,LL,,,00:17:40:13
s3,T3,CN,,,00:17:41:06
s3,T3,UR,,,00:17:41:07
s3,T3,LR,,,00:17:41:19
s3,T3,CN,,,00:17:41:24
s3,T3,BL,,,00:17:42:00
s3,T3,LL,,,00:17:42:03
s3,T3,LL,,x,00:17:42:08
s3,T7,UL,,,00:19:29:16
s3,T7,CN,,,00:19:29:18
s3,T7,BL,,,00:19:29:19
s3,T7,LR,,,00:19:29:24
s3,T7,CN,,,00:19:30:08
s3,T7,UL,,,00:19:30:16
s3,T7,CN,,,00:19:31:15
s3,T7,LR,,,00:19:31:16
s3,T7,LR,,x,00:19:32:18
s3,T5,UR,,,00:22:00:19
s3,T5,OT,,,00:22:01:08
s3,T5,LR,,,00:22:01:09
s3,T5,BL,,,00:22:02:12
s3,T5,UL,,,00:22:02:18
s3,T5,OT,,,00:22:03:01
s3,T5,LR,,,00:22:03:02
s3,T5,UR,,,00:22:03:12
s3,T5,UR,,,00:22:03:23
s3,T5,UR,,x,00:22:03:23
