Name ,Trial,Marker Name,Object Code,Action?,Start
s6,T5,LR,,,00:01:24:00
s6,T5,UR,,,00:01:26:01
s6,T5,UR,,2,00:01:27:13
s6,T7,UL,,,00:03:54:05
s6,T7,CN,,,00:03:56:02
s6,T7,LR,,,00:03:56:03
s6,T7,LR,,x,00:03:57:12
s6,T3,UR,,,00:05:38:22
s6,T3,CN,,,00:05:39:00
s6,T3,LL,,,00:05:39:01
s6,T3,CN,,,00:05:40:21
s6,T3,LR,,,00:05:40:22
s6,T3,LR,,2,00:05:42:08
s6,T2,LL,,,00:09:05:17
s6,T2,UL,,,00:09:07:00
s6,T2,UL,,x,00:09:08:00
s6,T4,UR,,,00:11:51:13
s6,T4,LR,,,00:11:53:11
s6,T4,CN,,,00:11:53:18
s6,T4,LL,,,00:11:53:19
s6,T4,LL,,x,00:11:55:07
s6,T6,UR,,,00:14:28:00
s6,T6,UR,,x,00:14:30:03
s6,T1,LL,,,00:17:43:04
s6,T1,UL,,,00:17:43:08
s6,T1,LL,,,00:17:43:23
s6,T1,UL,,,00:17:44:11
s6,T1,UL,,x,00:17:46:02
s6,T8,LR,,,00:21:54:02
s6,T8,LR,,x,00:21:56:05
