Participant no,trial no,bag number,Sentence 1,,"ActionType (0=Mod,1=Instr,2=Mini)",comments,Instr,PropInstr,score,condition,QuestCond,VerbCond,QUD ,Age group
PS-01,1,5,Clean the cat with the t-shirt,,1,,1,1,4|4,inst/instF,inst,inst,What should we do to x,2
PS-01,2,6,hit the elephant with the flower,,1,,1,,,inst/instF,inst,inst,What should we do to x,2
PS-01,3,7,cover the flamingo with the book,,1,,1,,,inst/instF,inst,inst,What should we do to x,2
PS-01,4,8,poke the leopard with the feather,,1,used both animals ,1,,,inst/instF,inst,inst,What should we do to x,2
MO-02,1,5,Clean the cat with the t-shirt,,0,,0,0.75,3|4,mod/instF,mod,inst,Which x should we play with now,2
MO-02,2,6,hit the elephant with the flower,,2,,1,,,mod/instF,mod,inst,Which x should we play with now,2
MO-02,3,7,cover the flamingo with the book,,2,,1,,,mod/instF,mod,inst,Which x should we play with now,2
MO-02,4,8,poke the leopard with the feather,,2,,1,,,mod/instF,mod,inst,Which x should we play with now,2
AC-03,1,8,poke the leopard with the feather,,1,almost mini,1,1,4|4,inst/instB,inst,inst,What should we do to x,2
AC-03,2,7,cover the flamingo with the book,,1,,1,,,inst/instB,inst,inst,What should we do to x,2
AC-03,3,6,hit the elephant with the flower,,1,,1,,,inst/instB,inst,inst,What should we do to x,2
AC-03,4,5,Clean the cat with the t-shirt,,1,,1,,,inst/instB,inst,inst,What should we do to x,2
GB-04,1,1,throw the bat with the towel,,1,picked up toys before told,1,1,4|4,mod/equiF,mod,equi,Which x should we play with now,2
GB-04,2,2,turn over the kangaroo with the spoon,,1,picked up toys before told,1,,,mod/equiF,mod,equi,Which x should we play with now,2
GB-04,3,3,scratch the squirell with the comb ,,1,picked up toys before told,1,,,mod/equiF,mod,equi,Which x should we play with now,2
GB-04,4,4,pinch the giraffe with the glove ,,1,picked up toys before told,1,,,mod/equiF,mod,equi,Which x should we play with now,2
ER-05,1,1,throw the bat with the towel,,1,,1,0.25,1|4,inst/equiF,inst,equi,What should we do to x,2
ER-05,2,2,turn over the kangaroo with the spoon,,0,,0,,,inst/equiF,inst,equi,What should we do to x,2
ER-05,3,3,scratch the squirell with the comb ,,0,,0,,,inst/equiF,inst,equi,What should we do to x,2
ER-05,4,4,pinch the giraffe with the glove ,,0,,0,,,inst/equiF,inst,equi,What should we do to x,2
ED-06,1,5,Clean the cat with the t-shirt,,1,picked up toys before told,1,1,,mod/instF,mod,inst,Which x should we play with now,1
ED-06,2,6,hit the elephant with the flower,,2,picked up toys before told,1,,,mod/instF,mod,inst,Which x should we play with now,1
ED-06,3,7,cover the flamingo with the book,,1,picked up toys before told,1,,,mod/instF,mod,inst,Which x should we play with now,1
ED-06,4,8,poke the leopard with the feather,,1,picked up toys before told,1,,,mod/instF,mod,inst,Which x should we play with now,1
GR-07,1,5,Clean the cat with the t-shirt,,1,,1,1,,mod/instF,mod,inst,Which x should we play with now,2
GR-07,2,6,hit the elephant with the flower,,1,,1,,,mod/instF,mod,inst,Which x should we play with now,2
GR-07,3,7,cover the flamingo with the book,,1,,1,,,mod/instF,mod,inst,Which x should we play with now,2
GR-07,4,8,poke the leopard with the feather,,1,picked up toys before told,1,,,mod/instF,mod,inst,Which x should we play with now,2
ES-09,1,5,Clean the cat with the t-shirt,,1,,1,1,,inst/instF,inst,inst,What should we do to x,2
ES-09,2,6,hit the elephant with the flower,,1,,1,,,inst/instF,inst,inst,What should we do to x,2
ES-09,3,7,cover the flamingo with the book,,1,,1,,,inst/instF,inst,inst,What should we do to x,2
ES-09,4,8,poke the leopard with the feather,,1,,1,,,inst/instF,inst,inst,What should we do to x,2
ZD-10,1,8,poke the leopard with the feather,,1,,1,1,,mod/instB,mod,inst,Which x should we play with now,1
ZD-10,2,7,cover the flamingo with the book,,1,,1,,,mod/instB,mod,inst,Which x should we play with now,1
ZD-10,3,6,hit the elephant with the flower,,1,,1,,,mod/instB,mod,inst,Which x should we play with now,1
ZD-10,4,5,Clean the cat with the t-shirt,,1,,1,,,mod/instB,mod,inst,Which x should we play with now,1
NT-11,1,8,poke the leopard with the feather,,0,,0,0,,mod/instB,mod,inst,Which x should we play with now,2
NT-11,2,7,cover the flamingo with the book,,0,,0,,,mod/instB,mod,inst,Which x should we play with now,2
NT-11,3,6,hit the elephant with the flower,,0,,0,,,mod/instB,mod,inst,Which x should we play with now,2
NT-11,4,5,Clean the cat with the t-shirt,,0,,0,,,mod/instB,mod,inst,Which x should we play with now,2
OP-13,1,8,poke the leopard with the feather,,1,,1,1,,inst/instB,inst,inst,What should we do to x,1
OP-13,2,7,cover the flamingo with the book,,1,,1,,,inst/instB,inst,inst,What should we do to x,1
OP-13,3,6,hit the elephant with the flower,,2,,1,,,inst/instB,inst,inst,What should we do to x,1
OP-13,4,5,Clean the cat with the t-shirt,,1,,1,,,inst/instB,inst,inst,What should we do to x,1
TF-14,1,1,throw the bat with the towel,,/,,,0.666666667,,inst/equiF,inst,equi,What should we do to x,1
TF-14,2,2,turn over the kangaroo with the spoon,,0,,0,,,inst/equiF,inst,equi,What should we do to x,1
TF-14,3,3,scratch the squirell with the comb ,,1,,1,,,inst/equiF,inst,equi,What should we do to x,1
TF-14,4,4,pinch the giraffe with the glove ,,1,picked up toys before told,1,,,inst/equiF,inst,equi,What should we do to x,1
KB-16,1,4,pinch the giraffe with the glove ,,1,,1,1,,inst/equiB,inst,equi,What should we do to x,1
KB-16,2,3,scratch the squirell with the comb ,,1,,1,,,inst/equiB,inst,equi,What should we do to x,1
KB-16,3,2,turn over the kangaroo with the spoon,,1,,1,,,inst/equiB,inst,equi,What should we do to x,1
KB-16,4,1,throw the bat with the towel,,1,went for TA first,1,,,inst/equiB,inst,equi,What should we do to x,1
EM-17,1,4,pinch the giraffe with the glove ,,0,,0,0,,mod/equiB,mod,equi,Which x should we play with now,2
EM-17,2,3,scratch the squirell with the comb ,,0,,0,,,mod/equiB,mod,equi,Which x should we play with now,2
EM-17,3,2,turn over the kangaroo with the spoon,,0,,0,,,mod/equiB,mod,equi,Which x should we play with now,2
EM-17,4,1,throw the bat with the towel,,0,,0,,,mod/equiB,mod,equi,Which x should we play with now,2
